"Covid-19"	"SD"	"HS"	"AD"	"EP"	"PD"	"IS"	"Imm"
"SLFNL1-AS1"							
"MGC27382"							
"MYO10"							
"PPP1R15A"							
"MAL2"							
"SSTR1"							
"TAS2R6P"							
"NELL2"							
"UBA6"							
"EPHX2"							
"RPL35AP2"							
"N4BP2L2-IT2"							
"ALDH5A1"							
"TMEM184A"							
"PPP1R37"							
"SYCE1L"							
"MTCYBP3"							
"MPL"							
"MTND5P2"							
"CYP2S1"							
"MPC2"							
"ENSG00000274080"							
"OLR1"							
"CRYZ"							
"SNORD46"							
"SDHB"							
"DHFR2"							
"PCSK5"							
"PPP1R13L"							
"LRRC39"							
"ADHFE1"							
"ENSG00000273192"							
"HSP90B2P"							
"ENSG00000272754"							
"MYO5C"							
"MRPS31P5"							
"KRT19"							
"HSD17B13"							
"CLIC6"							
"C5orf34"							
"POLN"							
"TMEM30BP1"							
"CHCHD10"							
"LRRC37A15P"							
"NEXMIF"							
"CCDC74A"							
"HARS1"							
"LINC02246"							
"TMEM125"							
"ENSG00000260855"							
"ELAPOR1"							
"ZNF783"							
"CASC2"							
"ADRB2"							
"H1-1"							
"TAS2R4"							
"GLIS2"							
"DNHD1"							
"RAB19"							
"ADAMTS17"							
"ENSG00000278351"							
"PA2G4P4"							
"SIPA1L3"							
"MANF"							
"MSRB3"							
"PRDM6"							
"ASL"							
"GPM6B"							
"NDUFAF4"							
"ARMCX6"							
"PCK2"							
"EEF1A1P9"							
"LINC00924"							
"ENSG00000280120"							
"ENSG00000238390"							
"APOBEC3C"							
"KCNN3"							
"ENSG00000259692"							
"GOLGA6L5P"							
"RPP25"							
"ENSG00000270012"							
"PMVK"							
"RPL24"							
"SUCLG2"							
"LAMA5"							
"GBP2"							
"RGS11"							
"NFKBIL1"							
"GARS1"							
"FGF9"							
"BCL2L2-PABPN1"							
"SCEL"							
"ENSG00000213703"							
"ENSG00000273568"							
"ENSG00000280077"							
"NPC2"							
"RNU6-1157P"							
"RN7SL430P"							
"RAB1AP1"							
"NHLRC1"							
"ZDHHC2"							
"EFHD2"							
"MSANTD3"							
"FDFT1"							
"ANP32E"							
"MCM3"							
"DNA2"							
"TIMP3"							
"COL18A1"							
"PPP1R36"							
"ENSG00000283057"							
"FDXR"							
"TMEM38A"							
"RHOF"							
"TKFC"							
"TSPAN32"							
"OSMR"							
"NELFB"							
"RGL2"							
"GUCD1"							
"ENSG00000257681"							
"EIF3C"							
"PTGER4"							
"EDNRA"							
"EIF4BP7"							
"ENSG00000203644"							
"ENSG00000239280"							
"LRRCC1"							
"ENSG00000279539"							
"FBL"							
"LYRM4-AS1"							
"ZNF668"							
"INSR"							
"ENSG00000279106"							
"GNGT2"							
"GCDH"							
"CPEB3"							
"HESX1"							
"FUCA2"							
"HMGB1P6"							
"RPL41"							
"RN7SL473P"							
"GLIPR1-AS1"							
"ASB13"							
"SLC30A1"							
"ARHGAP31"							
"HACD4"							
"SCN5A"							
"IFT22"							
"TRADD"							
"ASAP1-IT2"							
"ISOC1"							
"FAM124B"							
"FZD6"							
"PLTP"							
"TM2D3"							
"SLC25A24"							
"ILDR1"							
"MTCO3P11"							
"MYLIP"							
"ISLR"							
"GYG2"							
"MPI"							
"MRC1"							
"GABRR2"							
"TBX2"							
"WDR19"							
"TIE1"							
"ENSG00000278058"							
"CBX6"							
"PARD6G"							
"TPD52L1"							
"TMEM123"							
"CCDC150"							
"MCF2L-AS1"							
"ADAMTSL4-AS1"							
"ENSG00000244398"							
"FAM76B"							
"LDLRAD3"							
"MT-ND4L"							
"EGOT"							
"MIR3679"							
"IFITM4P"							
"ADARB2"							
"C2orf72"							
"STXBP1"							
"IGHV4-59"							
"ZFP1"							
"MEGF10"							
"ENSG00000255026"							
"RN7SL674P"							
"PYCARD"							
"PTX3"							
"ENSG00000270072"							
"SYTL5"							
"COLEC12"							
"GPR155"							
"C22orf46"							
"TMEM17"							
"GPR162"							
"NBL1"							
"SLC26A8"							
"SFXN4"							
"WWTR1-AS1"							
"LINC02028"							
"MT-TE"							
"BACE2-IT1"							
"TMC7"							
"GIGYF1"							
"LRRC28"							
"PCSK1"							
"SEC61B"							
"DCN"							
"CR1L"							
"GUCY1A1"							
"ESRP1"							
"CACNB4"							
"FSCN1"							
"PRORSD1P"							
"UBE2V1P1"							
"Y_RNA"							
"PCYT2"							
"S100A16"							
"MRPL2"							
"CHST10"							
"ROMO1"							
"ANGPT1"							
"TEX41"							
"TSPAN6"							
"COL27A1"							
"MIA3"							
"ENSG00000233461"							
"ENSG00000288031"							
"MOCS2"							
"MGAT4B"							
"ZMAT3"							
"CNTLN"							
"PIGR"							
"ENSG00000259392"							
"FAM210A"							
"ENSG00000273724"							
"AOC3"							
"ACVR1C"							
"LINC01169"							
"THSD1"							
"SPATA18"							
"ENSG00000276809"							
"AIF1L"							
"RPL13AP25"							
"H6PD"							
"COMMD8"							
"LRCH2"							
"TRAF1"							
"IQSEC2"							
"ACE"							
"ENSG00000273165"							
"LRRC8E"							
"ACOT11"							
"HMGA1"							
"ALDH1B1"							
"SSPN"							
"C16orf91"							
"CYP4Z1"							
"MXI1"							
"RORA"							
"ENSG00000288663"							
"CNTROB"							
"PLA2G5"							
"MXD4"							
"ENSG00000272079"							
"ENSG00000261476"							
"ENSG00000270190"							
"RAB7B"							
"SNTB1"							
"FXN"							
"MSC-AS1"							
"PLA1A"							
"RRN3P2"							
"PALM"							
"ENSG00000260007"							
"HTRA3"							
"RAB40C"							
"SEMA4F"							
"ENSG00000269189"							
"SMIM5"							
"COX17"							
"HSPA9"							
"SH2D3C"							
"NYNRIN"							
"ENSG00000257181"							
"ECSCR"							
"ITGB4"							
"LNP1"							
"ZNF580"							
"RPP40"							
"FLNA"							
"ENSG00000256682"							
"FRS3"							
"CYP2G1P"							
"LIMS2"							
"TMEM205"							
"RPS2P5"							
"ZBTB45"							
"ENSG00000219712"							
"TAS2R13"							
"KDELR3"							
"NDUFAB1"							
"IGLV3-1"							
"RPL23AP37"							
"ENSG00000271011"							
"F2RL1"							
"RNU7-124P"							
"SEPHS2"							
"MACC1"							
"LTB4R"							
"CPEB4"							
"GALNT2"							
"PREB"							
"FGFBP3"							
"ACAD11"							
"CRISPLD1"							
"ENSG00000268707"							
"IQGAP1"							
"PECR"							
"ZNF503"							
"RCAN1"							
"RN7SL57P"							
"KSR2"							
"MIR3142HG"							
"DCXR"							
"SLC52A3"							
"SPACA9"							
"SLC39A10"							
"NBPF25P"							
"ENSG00000261544"							
"ENSG00000284428"							
"PCDHGA2"							
"FAM13C"							
"LIPH"							
"E2F8"							
"CBFA2T3"							
"TGM2"							
"GIPR"							
"LINC00702"							
"APOBEC3F"							
"MALRD1"							
"ZNF724"							
"IGSF8"							
"SNORA22"							
"TRPV6"							
"RPL23A"							
"ENSG00000217648"							
"NCMAP"							
"IGHV4-39"							
"SOCS3"							
"CEBPG"							
"PSTK"							
"TMEM98"							
"HOMER1"							
"GTF2IP1"							
"FAM110A"							
"RGCC"							
"SLC27A4"							
"SPACA6"							
"ERG28"							
"RHOD"							
"PPIAP30"							
"CD151"							
"SELENOP"							
"GIMAP1"							
"EIF2S2P4"							
"MICE"							
"NPM2"							
"MIR558"							
"ESCO2"							
"ENSG00000276603"							
"PRRT2"							
"TTLL1"							
"PLEKHG5"							
"SCART1"							
"ENSG00000278434"							
"GCLM"							
"ENSG00000266371"							
"COTL1"							
"ST8SIA5"							
"RPS4X"							
"SLC15A2"							
"PLCL1"							
"RPS6KL1"							
"ZFTA"							
"PWRN1"							
"SLC25A37"							
"SCD"							
"PRDX6"							
"TCEA1P4"							
"ARL5B"							
"GPRC5C"							
"TOB1-AS1"							
"H4C1"							
"PID1"							
"MYO16"							
"PEG10"							
"RNH1"							
"MRPL32"							
"RPL9"							
"SPA17"							
"ABCG1"							
"SGSM1"							
"IYD"							
"KLHL29"							
"GMFG"							
"MCM5"							
"FRZB"							
"CADPS"							
"ADAM19"							
"VIM"							
"ARHGAP23"							
"ENSG00000259407"							
"CAVIN4"							
"RPL13P5"							
"RN7SL809P"							
"CCDC106"							
"ADCK2"							
"SEMA4C"							
"ENSG00000273259"							
"ITGA3"							
"MIR6081"							
"RNU6-759P"							
"WHAMMP1"							
"ENSG00000280351"							
"ZNF777"							
"TMEM220"							
"PLCB3"							
"CD300LB"							
"MAGEE1"							
"ECI2"							
"MGAM"							
"ADTRP"							
"LSP1"							
"IGHV3-30"							
"RFPL3S"							
"TEX30"							
"ENSG00000257531"							
"CYP2J2"							
"GALT"							
"FGGY"							
"PCOLCE2"							
"NRGN"							
"ENSG00000261291"							
"ENSG00000280604"							
"THBS1-IT1"							
"DNAJA3"							
"UBE2Q2"							
"CD320"							
"HIBADH"							
"RTTN"							
"WWP1"							
"INSC"							
"RASD1"							
"DOK2"							
"MPRIPP1"							
"CCL21"							
"ENSG00000270091"							
"ABCC4"							
"ANXA2P2"							
"TRMT11"							
"CCDC17"							
"RAD52"							
"KCNS3"							
"TMEM273"							
"ENSG00000275850"							
"EMP1"							
"RCC2"							
"ZNF670"							
"TAS2R63P"							
"HMGA2"							
"SCARA3"							
"ASPG"							
"RAB6B"							
"YBX3"							
"ENSG00000274038"							
"SLCO2B1"							
"PHETA2"							
"ARID3A"							
"MDH2"							
"RPL7AP42"							
"SHTN1"							
"SULT1C4"							
"RPL7P9"							
"ENSG00000286689"							
"TBC1D30"							
"GIT1"							
"USF1P1"							
"ENSG00000288586"							
"TMEM26"							
"LARGE-IT1"							
"ENSG00000251314"							
"ENSG00000261056"							
"RN7SKP110"							
"ENSG00000273328"							
"VWA8"							
"CDCA4"							
"GADD45B"							
"ENSG00000279453"							
"LINC01232"							
"WFIKKN1"							
"ZNF703"							
"DNM1P47"							
"TCIM"							
"GPRC5A"							
"NPNT"							
"SIRPA"							
"ADAMTSL4-AS2"							
"CNPY4"							
"NOVA2"							
"ZNF711"							
"MXD1"							
"CATSPERG"							
"ENSG00000274776"							
"NDUFB2-AS1"							
"PIP5K1B"							
"BHLHE41"							
"ZFP82"							
"PEX3"							
"ENSG00000261888"							
"ENSG00000272505"							
"MMUT"							
"ZNF579"							
"NRN1"							
"SCIN"							
"ZNF252P-AS1"							
"SMG1P7"							
"ANXA2"							
"CACTIN"							
"NBR2"							
"CRB3"							
"AP1G2-AS1"							
"B3GNT7"							
"NKD2"							
"GNA12"							
"PDGFB"							
"ST7-OT4"							
"DBF4"							
"FBLN2"							
"EXPH5"							
"ORMDL3"							
"ARHGAP6"							
"ENSG00000253372"							
"ECHS1"							
"PRR4"							
"TNFSF14"							
"GSTP1"							
"ENSG00000272668"							
"ENSG00000287925"							
"BAIAP2-DT"							
"ATP5F1C"							
"USP32P3"							
"TNKS1BP1"							
"KMT5C"							
"FAM135B"							
"NECAB3"							
"MAFG-DT"							
"HDHD5"							
"ST3GAL6-AS1"							
"ENSG00000288538"							
"ENSG00000228280"							
"TADA1"							
"ZNF385B"							
"ENSG00000277687"							
"SNX21"							
"ENSG00000224945"							
"ENSG00000234902"							
"KLF5"							
"MB21D2"							
"PFDN2"							
"RN7SKP56"							
"ENSG00000285744"							
"TMEM254"							
"FAM151B"							
"ENSG00000279026"							
"ENSG00000259767"							
"RNF213-AS1"							
"ENSG00000281469"							
"FAM78B"							
"LGR4"							
"MAK"							
"ENSG00000255872"							
"KCNJ15"							
"ENSG00000280046"							
"ZNF865"							
"ATOH8"							
"FOXQ1"							
"ENSG00000270061"							
"SCRIB"							
"ANKRD33B"							
"LPL"							
"SLC45A4"							
"LRCOL1"							
"CPT2"							
"MYCBP2-AS2"							
"EFS"							
"ENSG00000275120"							
"ZNF331"							
"FLVCR2"							
"RPLP2"							
"BMP5"							
"B4GALNT3"							
"PROCR"							
"NIPAL1"							
"PAQR7"							
"ENSG00000260495"							
"ENSG00000273133"							
"TG"							
"ENSG00000277595"							
"KIAA1614"							
"CIART"							
"CCDC180"							
"GOLGA2P10"							
"KCNT2"							
"ZNF707"							
"TPTEP1"							
"JOSD2"							
"ENSG00000233674"							
"SH3BGRL"							
"CR1"							
"GPSM1"							
"MRPL54"							
"CNN1"							
"MCRIP1"							
"ROPN1L"							
"SMAD6"							
"COX6A1"							
"IFI27L2"							
"ENSG00000225721"							
"SALL2"							
"TMED1"							
"SCML2"							
"ENSG00000279811"							
"MARCHF9"							
"ACADS"							
"SUCLG2-DT"							
"MOK"							
"ENSG00000275236"							
"UBXN8"							
"ENSG00000278367"							
"PRDX3"							
"BAALC-AS1"							
"INTS6-AS1"							
"ENSG00000261537"							
"SDCBP2"							
"ENSG00000287562"							
"GAPDH"							
"STAP2"							
"ENSG00000273381"							
"EFEMP1"							
"ENSG00000229955"							
"RTN2"							
"KLHL32"							
"TWF2"							
"TIFA"							
"APOE"							
"ETFB"							
"ENSG00000223916"							
"FOXF1"							
"RDH10"							
"IGSF6"							
"PLCD1"							
"ENSG00000250519"							
"ENSG00000284292"							
"NPIPP1"							
"AQP7"							
"CEP57"							
"NKILA"							
"RASEF"							
"RTN4RL1"							
"OSTC"							
"ENSG00000272379"							
"AGPAT5"							
"NSDHL"							
"ENSG00000270804"							
"UST"							
"IPMK"							
"ENSG00000286817"							
"ENSG00000224593"							
"FBLN1"							
"MRPS35"							
"ENSG00000240710"							
"IL17RD"							
"RAMP2-AS1"							
"ENSG00000261451"							
"NUDCP1"							
"NCK2"							
"C21orf58"							
"GSTZ1"							
"CCDC88B"							
"CCL19"							
"HILPDA"							
"CASQ2"							
"DKK2"							
"DNMT1"							
"LMOD3"							
"EEPD1"							
"ENSG00000279059"							
"DDX10P1"							
"HIC1"							
"ENSG00000286451"							
"RGS14"							
"CYC1"							
"RABGAP1L-DT"							
"DERA"							
"ENSG00000266498"							
"ENSG00000237094"							
"FBXL19"							
"TRAPPC4"							
"PRR15L"							
"AP4B1"							
"ZEB2-AS1"							
"LRRC8D"							
"ELAPOR2"							
"PCF11-AS1"							
"RPL30P13"							
"ENSG00000274297"							
"ENSG00000272033"							
"MALL"							
"CFP"							
"GRB7"							
"MST1L"							
"BTNL9"							
"PCDHB4"							
"PLA2G15"							
"BCL2L11"							
"ADGRG6"							
"RAI2"							
"KYAT3"							
"DIP2A-IT1"							
"SYN1"							
"GALNT3"							
"PTPRU"							
"ENSG00000229618"							
"ZNF524"							
"QSOX1"							
"YTHDF1P1"							
"NANOGP8"							
"LINC02918"							
"ENSG00000273151"							
"PRSS36"							
"ARL4AP5"							
"ENSG00000258311"							
"NT5E"							
"AP1M2"							
"ANGPTL1"							
"DPYSL3"							
"FUOM"							
"PKNOX2"							
"NCAPGP1"							
"PRSS42P"							
"ENSG00000250899"							
"INKA2"							
"GIMAP8"							
"FEZ1"							
"ENSG00000260645"							
"ATN1"							
"HMOX1"							
"TRIM59"							
"MMACHC"							
"DZIP1L"							
"ENSG00000256361"							
"INPP5J"							
"CHMP4A"							
"MRPL39"							
"FSBP"							
"SLC28A3"							
"ENSG00000233178"							
"SOWAHCP2"							
"FRMD5"							
"FBXW9"							
"C1QTNF3"							
"ZNF213"							
"NOTCH4"							
"WHAMMP4"							
"IGHV2-5"							
"BMP4"							
"PARP10"							
"B3GAT1"							
"RPL7"							
"VWA7"							
"S100A6"							
"ENSG00000270956"							
"MSANTD1"							
"MECOM"							
"PCDHB3"							
"TCEAL9"							
"CPNE5"							
"CARS1"							
"LINC02482"							
"SLC25A36"							
"PPM1L"							
"LGALS3"							
"ENSG00000277152"							
"LTBP2"							
"RPS6P25"							
"ENSG00000272465"							
"LEPR"							
"CACNA2D2"							
"ENSG00000265625"							
"RENBP"							
"ENSG00000260816"							
"SH2D3A"							
"ENSG00000271009"							
"ENSG00000261499"							
"MTND4P14"							
"ATP13A4"							
"UQCRQ"							
"HOTAIRM1"							
"ETS2"							
"ENSG00000259915"							
"MT-TW"							
"ENSG00000273437"							
"SHLD3"							
"C16orf54"							
"GNA13"							
"ENSG00000260160"							
"PEX11A"							
"METRN"							
"AK7"							
"ENSG00000254165"							
"PPP1R16B"							
"ENSG00000203647"							
"ARHGEF17"							
"ENSG00000273448"							
"ENSG00000232528"							
"PPIAP2"							
"ENSG00000273230"							
"ENSG00000218426"							
"MEX3B"							
"ITGB7"							
"BCAT2"							
"KDM5C-IT1"							
"ENSG00000273893"							
"RPL5P30"							
"CDC14B"							
"ZNHIT2"							
"LSMEM1"							
"HYAL1"							
"CFAP61"							
"HACD1"							
"ENSG00000281530"							
"GRHL2"							
"KIF3C"							
"PKHD1L1"							
"ENSG00000228463"							
"FILIP1"							
"ZNF747-DT"							
"TWF1"							
"LNX1"							
"ATP5MC3"							
"ARHGEF15"							
"BMPR1B"							
"GIPC2"							
"MIR17HG"							
"ATP5PBP1"							
"MT-ND6"							
"ACKR3"							
"DCLRE1A"							
"PGK1"							
"SQLE"							
"SPTBN5"							
"WNT2"							
"ARG2"							
"LINC02969"							
"ENSG00000273792"							
"PPM1F"							
"ENSG00000272529"							
"ENSG00000276997"							
"TPMT"							
"KDM8"							
"SLC36A1"							
"RASL12"							
"IQANK1"							
"SORCS2"							
"EEF1E1"							
"HK1"							
"GAPDHP1"							
"PNPLA6"							
"RAB13"							
"GRM8"							
"RPS23"							
"ANKRD1"							
"SLC12A7"							
"GNPNAT1"							
"SUGT1P1"							
"CHRNB1"							
"ENSG00000224950"							
"ENSG00000279348"							
"RAB3D"							
"C18orf15"							
"LMOD1"							
"ADAMTS9"							
"TRPV2"							
"TTBK1"							
"GLCE"							
"HSPE1"							
"GLDC"							
"EPHB3"							
"CHPT1"							
"ADGRE5"							
"ITGA11"							
"ASPSCR1"							
"MAP4K2"							
"ENSG00000183171"							
"ART4"							
"ENSG00000238039"							
"SOX4"							
"B3GAT1-DT"							
"PLN"							
"TUBB6"							
"ADIRF-AS1"							
"PCDHAC2"							
"MAFK"							
"STRIP2"							
"ENSG00000261582"							
"H2AC15"							
"TMPRSS4"							
"B4GALNT1"							
"ENSG00000226180"							
"ABCG2"							
"TAS2R15P"							
"MAGOH2P"							
"REM2"							
"KITLG"							
"CXCL14"							
"PEBP1"							
"HSPB1"							
"SOD3"							
"TNFRSF19"							
"TPM4"							
"LILRB5"							
"ADH1B"							
"PCED1B"							
"ENSG00000262558"							
"N4BP3"							
"UQCR10"							
"PHLDB2"							
"ACOX1"							
"TARS1"							
"DEPTOR"							
"KLF8"							
"ENSG00000268051"							
"DRAM1"							
"LINC02193"							
"TAGAP"							
"PLEK2"							
"MCOLN3"							
"ADCY10P1"							
"P3H4"							
"PNMA2"							
"C11orf54"							
"CYGB"							
"ENSG00000270140"							
"ARHGEF3"							
"ANKDD1B"							
"THOC6"							
"PPP1R3G"							
"ENSG00000254343"							
"CLPX"							
"ZNF860"							
"CERS3-AS1"							
"RN7SKP30"							
"CDHR1"							
"SDHD"							
"TIMP4"							
"HRC"							
"MARCHF3"							
"CCDC183"							
"TMEM70"							
"IZUMO1"							
"LTK"							
"ENSG00000267672"							
"KBTBD11"							
"CFAP410"							
"VASP"							
"MIR570"							
"SLC25A20"							
"GUCY1A2"							
"EBP"							
"BPNT2"							
"REX1BD"							
"CALCB"							
"ENSG00000262652"							
"ENSG00000248015"							
"ZNF90"							
"TLR2"							
"DNAH17"							
"DCST2"							
"ENSG00000234389"							
"TSLP"							
"SYDE1"							
"ENPP2"							
"PLCH2"							
"RNU7-40P"							
"SYT15-AS1"							
"PRSS8"							
"ENSG00000263120"							
"FAM83G"							
"STPG3-AS1"							
"ADI1"							
"GASK1B-AS1"							
"ENSG00000274341"							
"IFI35"							
"HTR4"							
"ENSG00000277879"							
"ENSG00000259605"							
"MIR7161"							
"FENDRR"							
"ENSG00000285417"							
"IRAK3"							
"PDE3A"							
"CD34"							
"ENSG00000279880"							
"ABCA6"							
"STAB1"							
"ANKRD55"							
"ENSG00000261635"							
"ENSG00000279932"							
"ZNF566-AS1"							
"LINC01622"							
"ENSG00000272812"							
"THBS1"							
"RAB3C"							
"TAS2R14"							
"SUCLG1"							
"ENSG00000250280"							
"CNIH1"							
"HDGFL3"							
"RABGAP1L-IT1"							
"PAM16"							
"COQ10A"							
"TFCP2L1"							
"ENSG00000278668"							
"ENSG00000285581"							
"TRABD2B"							
"ZNNT1"							
"CYP4X1"							
"CRYAB"							
"HPS5"							
"SFTPA2"							
"ZNF215"							
"MTND2P2"							
"PIGAP1"							
"APLN"							
"ENSG00000250138"							
"SLC27A1"							
"ENSG00000248863"							
"BOP1"							
"CDNF"							
"IER5"							
"SLC45A2"							
"CCL3L1"							
"MAPK13"							
"TP53I13"							
"PDE6B"							
"CD300C"							
"ENSG00000238061"							
"ENSG00000276248"							
"ITGB6"							
"DUSP19"							
"MEX3A"							
"MLLT11"							
"FAM83H"							
"TGFB1"							
"CTAGE3P"							
"H3C11"							
"CAPN12"							
"ENSG00000279836"							
"GJC1"							
"ENSG00000278236"							
"PKD1"							
"SCRN1"							
"BAIAP3"							
"ENSG00000279958"							
"FGGY-DT"							
"MICU3"							
"DAGLA"							
"CDH5"							
"CDKL2"							
"HBA1"							
"HMGB1P31"							
"OPLAH"							
"CCL3"							
"STARD4"							
"COX6CP17"							
"ENSG00000200075"							
"ENSG00000285269"							
"MGP"							
"U6"							
"ENSG00000287932"							
"C17orf97"							
"ENSG00000280274"							
"FOLH1"							
"RGPD3"							
"GALNT14"							
"DHX34"							
"NET1"							
"ENSG00000166104"							
"ENSG00000269867"							
"CYB5D1"							
"ENSG00000269938"							
"KCNMB4"							
"HBA2"							
"CHAC1"							
"ESYT3"							
"PTPRO"							
"XYLT1"							
"FBXO32"							
"MT-ND2"							
"RASA4CP"							
"SLC25A4"							
"CKAP2L"							
"GJA1"							
"ENSG00000258732"							
"SELE"							
"AMDHD2"							
"CHKB-CPT1B"							
"TSPAN2"							
"CBR3"							
"HSPB8"							
"ABTB1"							
"MPV17L"							
"PIK3CG"							
"STMN1P1"							
"PIM3"							
"ZDHHC1"							
"RTL8B"							
"RPLP0P9"							
"CCN3"							
"PGRMC1"							
"TCAP"							
"ENSG00000270605"							
"PLEKHH2"							
"PRR5L"							
"RHPN1"							
"USP2-AS1"							
"IMPDH1P8"							
"SPOCK1"							
"ENSG00000260912"							
"ENSG00000271141"							
"GNAZ"							
"IGHG1"							
"ENSG00000254061"							
"RAMP1"							
"MUC16"							
"SNX29P2"							
"TIGD5"							
"LAYN"							
"PRICKLE1"							
"KCNJ5"							
"EXTL3-AS1"							
"NPDC1"							
"CFAP91"							
"ENSG00000227066"							
"SUDS3P1"							
"MFSD6"							
"A4GALT"							
"E2F1"							
"LINC02970"							
"EVC"							
"SLIT3"							
"IL27RA"							
"ENSG00000187904"							
"ARMC5"							
"DOK6"							
"EFNA1"							
"ENSG00000286912"							
"PCDHB2"							
"PCDH12"							
"ENSG00000267152"							
"FLT1"							
"PKN3"							
"TAGLN"							
"RGPD8"							
"LAMC2"							
"MYORG"							
"CELSR3"							
"LINC01132"							
"ABCA3"							
"ENSG00000242299"							
"RPS28P7"							
"LRFN4"							
"CCL14"							
"STX1A"							
"LINC00240"							
"ENSG00000250568"							
"IGLV1-44"							
"ITGB1BP2"							
"ACSM3"							
"ENSG00000269514"							
"HOPX"							
"ATP2A1"							
"COX7B"							
"RN7SL378P"							
"ATP7B"							
"ZNF511"							
"SESN2"							
"ENSG00000238966"							
"HMGB1P41"							
"CLDN10"							
"NKIRAS1"							
"IFIT1"							
"FGFR4"							
"STEAP1B"							
"PMS2P6"							
"NSMCE1-DT"							
"ALOX15P1"							
"GPR37"							
"ENSG00000267681"							
"ENSG00000274322"							
"KCNE3"							
"BEND5"							
"SEC61G"							
"KIF14"							
"ENSG00000287074"							
"ACAP2-IT1"							
"TNFAIP8L2"							
"TMEM238"							
"UPP1"							
"ENSG00000279689"							
"KIF21A"							
"RCSD1"							
"LINC01948"							
"GPBAR1"							
"TEAD4"							
"RAMP3"							
"MMP24"							
"ENSG00000246225"							
"COLGALT2"							
"ENSG00000266993"							
"PLOD1"							
"GPC4"							
"ENSG00000285867"							
"CIT"							
"HEATR4"							
"SNORD117"							
"CCN1"							
"RGS10"							
"ENSG00000261512"							
"PROM2"							
"SRPX"							
"MAP1B"							
"TMC4"							
"PLXDC2"							
"THNSL1"							
"ENSG00000231466"							
"MIR3609"							
"ARHGAP30"							
"FAM107A"							
"GAS1"							
"ENSG00000273156"							
"ENSG00000237813"							
"XACT"							
"DEPP1"							
"TOB1"							
"STEAP2"							
"ENSG00000227992"							
"RASL10B"							
"ENSG00000254325"							
"ARHGEF4"							
"BIRC3"							
"DOCK7-DT"							
"LILRA1"							
"PABPC1L"							
"TLNRD1"							
"SPATA2L"							
"HORMAD1"							
"GNB1L"							
"FAM133CP"							
"LST1"							
"ADAMTS1"							
"ANKRD37"							
"ENSG00000275367"							
"ARHGEF19"							
"ENSG00000272638"							
"ADAMTS14"							
"TSPAN33"							
"ENSG00000274964"							
"PRELP"							
"SNORD15B"							
"ZNF385A"							
"CXCL1"							
"PTPRN2"							
"LIF"							
"MT-TQ"							
"ENSG00000283415"							
"RGS5"							
"ENSG00000260711"							
"EDIL3"							
"TMED7"							
"MUC5B"							
"IGKV1-5"							
"PNPLA7"							
"DPEP2"							
"PYGO1"							
"TNFAIP6"							
"ABHD6"							
"NAV3"							
"VNN2"							
"SPESP1"							
"PIK3R6"							
"MAN1B1-DT"							
"TPM2"							
"RIMS3"							
"STAT4"							
"DUSP5"							
"MBD3"							
"SYTL1"							
"LOXHD1"							
"ENSG00000286129"							
"MINAR1"							
"GREM2"							
"NEXN"							
"NMRAL2P"							
"TBC1D10C"							
"VGLL3"							
"ADGRG1"							
"ATF3"							
"ID1"							
"PPM1M"							
"ENSG00000279328"							
"FHOD1"							
"AADAT"							
"ENSG00000284602"							
"SAMD5"							
"SOX7"							
"MAPK4"							
"ENSG00000232334"							
"SCTR"							
"THRB-IT1"							
"ADAMTS7"							
"SPOPL-DT"							
